college,collegeLabel,city,coordinate_location,country,countryLabel
http://www.wikidata.org/entity/Q598699,Bisha Domestic Airport,,Point(42.620833333 19.984444444),http://www.wikidata.org/entity/Q851,Saudi Arabia
http://www.wikidata.org/entity/Q598724,Bluefields Airport,,Point(-83.774166666 11.990833333),http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q598738,Bintulu Airport,,Point(113.020277777 3.123611111),http://www.wikidata.org/entity/Q833,Malaysia
http://www.wikidata.org/entity/Q598749,Bima Airport,,Point(118.687222222 -8.539722222),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q598817,Hollywood Burbank Airport,,Point(-118.358611111 34.200555555),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q598831,Blackpool Airport,,Point(-3.028333333 53.771388888),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q598850,Biju Patnaik Airport,,Point(85.817777777 20.244444444),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q598859,Binaka Airport,,Point(97.70444444 1.16611111),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q601091,Wuhan Tianhe International Airport,,Point(114.208055555 30.783611111),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q601389,Tepoe Airstrip,,Point(-55.716666666 3.15),http://www.wikidata.org/entity/Q730,Suriname
http://www.wikidata.org/entity/Q604275,La Gomera Airport,,Point(-17.2146 28.029625),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q604547,Dayrestan Airport,,Point(55.902352777 26.754638888),http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q605739,McCall Municipal Airport,,Point(-116.102 44.8886),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q606067,Liege Airport,,Point(5.444167 50.637778),http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q607211,Campo Grande International Airport,,Point(-54.670277777 -20.469444444),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q607230,Ercan International Airport,,Point(33.488372 35.159647),http://www.wikidata.org/entity/Q23681,Turkish Republic of Northern Cyprus
http://www.wikidata.org/entity/Q607789,Assab International Airport,,Point(42.645 13.071666666),http://www.wikidata.org/entity/Q986,Eritrea
http://www.wikidata.org/entity/Q608306,Gondar Airport,,Point(37.433888888 12.519722222),http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q609603,Dera Ghazi Khan International Airport,,Point(70.485833333 29.960833333),http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q611949,Guillermo León Valencia Airport,,Point(-76.609166666 2.454166666),http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q611983,Beauvais-Tillé Airport,,Point(2.112778 49.454444),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q612731,Bordeaux–Mérignac Airport,,Point(-0.715556 44.828333),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q613569,Dallas Love Field,,Point(-96.851666666 32.847222222),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q613657,Fascene Airport,,Point(48.30916667 -13.31805556),http://www.wikidata.org/entity/Q1019,Madagascar
http://www.wikidata.org/entity/Q615458,Nyingchi Mainling Airport,,Point(94.335277777 29.303333333),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q615917,Gällivare Airport,,Point(20.812222222 67.133055555),http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q17618,Gove Airport,,Point(136.818333333 -12.27),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17619,Port Keats Airfield,,Point(129.528333333 -14.248333333),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17621,Ramingining Airport,,Point(134.898333333 -12.356666666),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q17622,Ngukurr Airport,,Point(134.747 -14.7228),http://www.wikidata.org/entity/Q408,Australia
