college,collegeLabel,city,coordinate_location,country,countryLabel,field1,Sno,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q11359553,Port of Kamiura,,Point(133.055527777 34.224472222),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11361207,Port of Shimoda,,Point(138.95 34.67),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11362657,Port of Ryōtsu,,Point(138.439444444 38.078055555),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11369341,Kujikou,,Point(141.805556 40.191667),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11378026,Port of Sendai,,Point(141.024472 38.270722),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11378724,Port of Imari,,Point(129.883333333 33.283333333),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11396732,Beppu Port,,Point(133.04258333 36.10827778),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q1139888,Port of Tokyo,,Point(139.79555556 35.61694444),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11401054,Port of Kitakyushu,,Point(130.98888889 33.88055556),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11404912,Port of Tokachi,,Point(143.334722222 42.298611111),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11416785,Port of Kure,,Point(132.556389 34.240639),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11423466,Port of Tonoshō,,Point(134.171944 34.491667),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11423752,Port of Tsuchiura,,Point(140.21597222 36.08102778),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11423774,"Port of Habu, Innoshima",,Point(133.1785 34.283583),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11425009,Port of Sakaide,,Point(133.853333 34.330556),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11425163,Port of Sakate,,Point(134.319444 34.455556),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
